Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26700,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
26979,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
27109,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
27239,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
27365,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
27494,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
27621,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
27748,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
27870,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
27992,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
28114,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
28236,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
28358,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
28481,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
28607,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
28729,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
76671,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
76901,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
77033,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
77168,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
77291,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
77413,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
77535,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
77660,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
77782,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
77904,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
78026,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
78148,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
78270,0x3E8,false,0,8,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,0x00
78392,0x3E8,false,0,8,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,0x00
78514,0x3E8,false,0,8,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00
78641,0x3E8,false,0,8,0x0D,0x00,0x00,0x00,0x05,0x00,0x10,0x00
126648,0x3E8,false,0,8,0x00,0x00,0x00,0x00,0x66,0x00,0x65,0x00
126787,0x44C,false,0,8,0x00,0x00,0x19,0x00,0x1A,0x00,0x00,0x00
126920,0x3E8,false,0,8,0x01,0x00,0xF2,0x03,0x05,0x00,0x00,0x00
127053,0x44C,false,0,8,0x01,0x00,0x01,0x00,0x00,0x00,0x00,0x00
127186,0x3E8,false,0,8,0x02,0x00,0x00,0x00,0x00,0x00,0x54,0x00
127309,0x3E8,false,0,8,0x03,0x00,0x4C,0x00,0x9F,0x04,0x00,0x00
127445,0x3E8,false,0,8,0x04,0x00,0x00,0x00,0x90,0x01,0x9A,0x04
127577,0x3E8,false,0,8,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00
127713,0x3E8,false,0,8,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00
127850,0x3E8,false,0,8,0x07,0x00,0x00,0x00,0x00,0x00,0x07,0x00
127973,0x3E8,false,0,8,0x08,0x00,0x4F,0x00,0x07,0x00,0x00,0x00
128110,0x3E8,false,0,8,0x09,0x00,0x00,0x00,0x00,0x00,0x00,0x00
